Generation,ID,Name,Type1,Type2,HP,Defense,Attack,SP Defense,Link
3,252,Treecko,grass,,70,65,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png
3,255,Torchic,fire,,45,70,50,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png
3,258,Mudkip,water,,40,50,50,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png
3,261,Poochyena,dark,,35,30,30,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png
3,263,Zigzagoon,normal,,60,30,41,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png
3,265,Wurmple,bug,,20,20,30,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/265.png
3,270,Lotad,water,grass,30,40,50,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/270.png
3,273,Seedot,grass,,30,30,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/273.png
3,276,Taillow,normal,flying,85,30,30,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/276.png
3,278,Wingull,water,flying,85,55,30,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/278.png
3,280,Ralts,psychic,fairy,40,45,35,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/280.png
3,283,Surskit,bug,water,65,50,52,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/283.png
3,285,Shroomish,grass,,35,40,60,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/285.png
3,287,Slakoth,normal,,30,35,35,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/287.png
3,290,Nincada,bug,ground,40,30,30,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png
3,293,Whismur,normal,,28,51,23,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png
3,296,Makuhita,fighting,,25,20,30,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png
3,298,Azurill,normal,fairy,20,20,40,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png
3,299,Nosepass,rock,,30,45,90,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/299.png
3,300,Skitty,normal,,50,35,35,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/300.png
3,302,Sableye,dark,ghost,50,65,65,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/302.png
3,303,Mawile,steel,fairy,50,55,55,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/303.png
3,304,Aron,steel,rock,30,40,40,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png
3,307,Meditite,fighting,psychic,60,40,55,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png
3,309,Electrike,electric,,65,65,40,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/309.png
3,311,Plusle,electric,,95,85,75,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/311.png
3,312,Minun,electric,,95,75,85,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/312.png
3,313,Volbeat,bug,,85,47,85,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/313.png
3,314,Illumise,bug,,85,73,85,47,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/314.png
3,316,Gulpin,poison,,40,43,53,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/316.png
3,318,Carvanha,water,dark,65,65,20,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/318.png
3,320,Wailmer,water,,60,70,35,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/320.png
3,322,Numel,fire,ground,35,65,45,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/322.png
3,324,Torkoal,fire,,20,85,70,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/324.png
3,325,Spoink,psychic,,60,70,80,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/325.png
3,327,Spinda,normal,,60,60,60,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/327.png
3,328,Trapinch,ground,,10,45,45,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/328.png
